7/1/16,Awesome Game,Network 1s,us,iOS,0,21,21,,
7/1/16,Awesome Game,Network 1s,us,iOS,0,2,2,,
7/1/16,Awesome Game,Network 1s,us,iOS,0,2,2,,
7/1/16,Awesome Game,Network 1s,us,iOS,0,1,1,,
7/1/16,Awesome Game,Network 1s,us,iOS,0,1,1,,
7/1/16,Awesome Game,Network 1s,us,iOS,0,7,7,,
7/1/16,Awesome Game,Network 1s,us,iOS,0,7,7,,
7/1/16,Awesome Game,Network 1s,gb,iOS,0,4,4,,
7/1/16,Awesome Game,Network 1s,au,iOS,0,2,2,,
7/1/16,Awesome Game,Network 1s,gb,iOS,0,1,1,,
7/1/16,Awesome Game,Network 1s,nz,iOS,0,1,1,,
7/1/16,Awesome Game,Network 1s,us,iOS,0,127,127,2,9.98
7/1/16,Awesome Game,Network 1s,us,iOS,0,2,2,,
7/1/16,Awesome Game,Network 1s,us,iOS,0,3,3,1,4.99
